,Actual,Susceptible,Infectious,Recovered,Date
2020-08-14,,3857.36810973052,-8.30654793306252e-08,6142.631890352548,2020-08-14
2020-08-15,,3857.3681098417665,-8.503661019357346e-09,6142.631890166739,2020-08-15
2020-08-16,,3857.368109972144,7.887985971907601e-08,6142.631889948979,2020-08-16
2020-08-17,,3857.3681101054913,1.6825431869776007e-07,6142.631889726256,2020-08-17
2020-08-18,,3857.368110221715,2.4615189617699787e-07,6142.631889532135,2020-08-18
2020-08-19,,3857.368110296787,2.964677168643078e-07,6142.631889406747,2020-08-19
2020-08-20,,3857.3681103027434,3.0045984991442634e-07,6142.631889396799,2020-08-20
2020-08-21,,3857.368110201687,2.327282228059275e-07,6142.631889565587,2020-08-21
2020-08-22,,3857.3681099703144,7.765374071428345e-08,6142.631889952034,2020-08-22
2020-08-23,,3857.36810965663,-1.3258908434083416e-07,6142.631890475961,2020-08-23
2020-08-24,,3857.368109308147,-3.661553106753581e-07,6142.63189105801,2020-08-24
2020-08-25,,3857.3681089657234,-5.956599985375396e-07,6142.631891629938,2020-08-25
2020-08-26,,3857.3681086635643,-7.981782101079478e-07,6142.631892134616,2020-08-26
2020-08-27,,3857.3681084292193,-9.552450094994698e-07,6142.6318925260275,2020-08-27
2020-08-28,,3857.3681082835838,-1.052855462757311e-06,6142.631892769274,2020-08-28
2020-08-29,,3857.3681082408984,-1.081464637858995e-06,6142.631892840568,2020-08-29
2020-08-30,,3857.3681083087504,-1.035987604714363e-06,6142.631892727239,2020-08-30
2020-08-31,,3857.3681084880723,-9.157994351655758e-07,6142.631892427728,2020-08-31
2020-09-01,,3857.368108773142,-7.247352029871083e-07,6142.631891951595,2020-09-01
2020-09-02,,3857.368109151583,-4.710899838857594e-07,6142.631891319508,2020-09-02
2020-09-03,,3857.368109604365,-1.676188555006405e-07,6142.631890563255,2020-09-03
2020-09-04,,3857.3681101058028,1.6846310259681385e-07,6142.631889725736,2020-09-04
2020-09-05,,3857.3681106235567,5.154808089028565e-07,6142.631888860964,2020-09-05
2020-09-06,,3857.368111118633,8.47299179981415e-07,6142.63188803407,2020-09-06
2020-09-07,,3857.3681115453833,1.1333231304641076e-06,6142.631887321295,2020-09-07
